"data_referencia","account","icp_score","tipo_lead","pais","leads","emails_unicos","mqls","sals","ultimo_horario_conversao","meta_leads_diaria","meta_mql_diaria","meta_sal_diaria","taxa_lead_mql_pct","taxa_mql_sal_pct","leads_mtd","mqls_mtd","leads_vs_meta_mtd_pct"
2018-10-31,Brasil,B,MQL,BR,1,1,0,0,21:17:53,0,0,0,0.00000000000000000000,,1,0,
2018-10-31,Brasil,C,MQL,BR,1,1,0,0,21:50:06,0,0,0,0.00000000000000000000,,1,0,
2018-10-31,Brasil,D,MQL,BR,6,6,0,0,22:57:48,0,0,0,0.00000000000000000000,,6,0,
2018-10-31,Latam,A,MQL,AR,1,1,0,0,22:28:02,0,0,0,0.00000000000000000000,,1,0,
2018-10-31,Latam,B,MQL,MX,1,1,0,0,23:20:57,0,0,0,0.00000000000000000000,,1,0,
2018-10-31,Latam,B,MQL,AR,1,1,0,0,23:27:16,0,0,0,0.00000000000000000000,,1,0,
2018-10-31,Latam,D,MQL,MX,2,2,0,0,22:19:25,0,0,0,0.00000000000000000000,,2,0,
2018-10-31,Latam,D,MQL,CO,3,3,0,0,22:37:17,0,0,0,0.00000000000000000000,,3,0,
2018-10-31,Latam,D,MQL,CL,1,1,0,0,21:08:28,0,0,0,0.00000000000000000000,,1,0,
2018-10-31,Partners,B,MQL,BR,1,1,0,0,23:53:44,0,0,0,0.00000000000000000000,,1,0,
2018-11-01,Brasil,A,MQL,BR,25,25,13,7,20:07:47,30.0666666666666667,5.2333333333333333,2.7000000000000000,0.52000000000000000000,0.53846153846153846154,100,52,0.85886057829945605448
2018-11-01,Brasil,A,MQL,BR,25,25,13,7,20:07:47,16.2333333333333333,0.66666666666666666667,0.26666666666666666667,0.52000000000000000000,0.53846153846153846154,100,52,0.85886057829945605448
2018-11-01,Brasil,A,MQL,BR,25,25,13,7,20:07:47,68.1666666666666667,21.2000000000000000,7.8000000000000000,0.52000000000000000000,0.53846153846153846154,100,52,0.85886057829945605448
2018-11-01,Brasil,A,MQL,Unknown,6,6,1,0,19:03:39,68.1666666666666667,21.2000000000000000,7.8000000000000000,0.16666666666666666667,0.00000000000000000000,24,4,0.20612653879186945307
2018-11-01,Brasil,A,MQL,Unknown,6,6,1,0,19:03:39,16.2333333333333333,0.66666666666666666667,0.26666666666666666667,0.16666666666666666667,0.00000000000000000000,24,4,0.20612653879186945307
2018-11-01,Brasil,A,MQL,Unknown,6,6,1,0,19:03:39,1.9666666666666667,0.36666666666666666667,0.10000000000000000000,0.16666666666666666667,0.00000000000000000000,24,4,0.20612653879186945307
2018-11-01,Brasil,A,MQL,Unknown,6,6,1,0,19:03:39,30.0666666666666667,5.2333333333333333,2.7000000000000000,0.16666666666666666667,0.00000000000000000000,24,4,0.20612653879186945307
2018-11-01,Brasil,A,MQL,ES,1,1,0,0,03:14:44,1.9666666666666667,0.36666666666666666667,0.10000000000000000000,0.00000000000000000000,,4,0,0.03435442313197824218
2018-11-01,Brasil,A,MQL,ES,1,1,0,0,03:14:44,30.0666666666666667,5.2333333333333333,2.7000000000000000,0.00000000000000000000,,4,0,0.03435442313197824218
2018-11-01,Brasil,A,MQL,ES,1,1,0,0,03:14:44,16.2333333333333333,0.66666666666666666667,0.26666666666666666667,0.00000000000000000000,,4,0,0.03435442313197824218
2018-11-01,Brasil,A,MQL,ES,1,1,0,0,03:14:44,68.1666666666666667,21.2000000000000000,7.8000000000000000,0.00000000000000000000,,4,0,0.03435442313197824218
2018-11-01,Brasil,A,MQL,BR,25,25,13,7,20:07:47,1.9666666666666667,0.36666666666666666667,0.10000000000000000000,0.52000000000000000000,0.53846153846153846154,100,52,0.85886057829945605448
2018-11-01,Brasil,B,MQL,Unknown,1,1,1,0,15:13:17,2.6000000000000000,0.43333333333333333333,0.13333333333333333333,1.00000000000000000000,0.00000000000000000000,4,4,0.02577319587628865979
2018-11-01,Brasil,B,HR,BR,1,1,0,0,20:44:24,90.8666666666666667,25.4333333333333333,9.3666666666666667,0.00000000000000000000,,4,0,0.02577319587628865979
2018-11-01,Brasil,B,HR,BR,1,1,0,0,20:44:24,21.6333333333333333,0.80000000000000000000,0.30000000000000000000,0.00000000000000000000,,4,0,0.02577319587628865979
2018-11-01,Brasil,B,HR,BR,1,1,0,0,20:44:24,2.6000000000000000,0.43333333333333333333,0.13333333333333333333,0.00000000000000000000,,4,0,0.02577319587628865979
2018-11-01,Brasil,B,HR,BR,1,1,0,0,20:44:24,40.1000000000000000,6.2666666666666667,3.2333333333333333,0.00000000000000000000,,4,0,0.02577319587628865979
2018-11-01,Brasil,B,MQL,AR,2,2,0,0,19:49:58,40.1000000000000000,6.2666666666666667,3.2333333333333333,0.00000000000000000000,,8,0,0.05154639175257731959
2018-11-01,Brasil,B,MQL,AR,2,2,0,0,19:49:58,21.6333333333333333,0.80000000000000000000,0.30000000000000000000,0.00000000000000000000,,8,0,0.05154639175257731959
2018-11-01,Brasil,B,MQL,AR,2,2,0,0,19:49:58,90.8666666666666667,25.4333333333333333,9.3666666666666667,0.00000000000000000000,,8,0,0.05154639175257731959
2018-11-01,Brasil,B,MQL,AR,2,2,0,0,19:49:58,2.6000000000000000,0.43333333333333333333,0.13333333333333333333,0.00000000000000000000,,8,0,0.05154639175257731959
2018-11-01,Brasil,B,MQL,BR,56,56,12,4,23:24:00,90.8666666666666667,25.4333333333333333,9.3666666666666667,0.21428571428571428571,0.33333333333333333333,224,48,1.4432989690721649
2018-11-01,Brasil,B,MQL,BR,56,56,12,4,23:24:00,2.6000000000000000,0.43333333333333333333,0.13333333333333333333,0.21428571428571428571,0.33333333333333333333,224,48,1.4432989690721649
2018-11-01,Brasil,B,MQL,BR,56,56,12,4,23:24:00,40.1000000000000000,6.2666666666666667,3.2333333333333333,0.21428571428571428571,0.33333333333333333333,224,48,1.4432989690721649
2018-11-01,Brasil,B,MQL,BR,56,56,12,4,23:24:00,21.6333333333333333,0.80000000000000000000,0.30000000000000000000,0.21428571428571428571,0.33333333333333333333,224,48,1.4432989690721649
2018-11-01,Brasil,B,MQL,CO,1,1,0,0,14:30:28,2.6000000000000000,0.43333333333333333333,0.13333333333333333333,0.00000000000000000000,,4,0,0.02577319587628865979
2018-11-01,Brasil,B,MQL,CO,1,1,0,0,14:30:28,21.6333333333333333,0.80000000000000000000,0.30000000000000000000,0.00000000000000000000,,4,0,0.02577319587628865979
2018-11-01,Brasil,B,MQL,CO,1,1,0,0,14:30:28,90.8666666666666667,25.4333333333333333,9.3666666666666667,0.00000000000000000000,,4,0,0.02577319587628865979
2018-11-01,Brasil,B,MQL,CO,1,1,0,0,14:30:28,40.1000000000000000,6.2666666666666667,3.2333333333333333,0.00000000000000000000,,4,0,0.02577319587628865979
2018-11-01,Brasil,B,MQL,Unknown,1,1,1,0,15:13:17,40.1000000000000000,6.2666666666666667,3.2333333333333333,1.00000000000000000000,0.00000000000000000000,4,4,0.02577319587628865979
2018-11-01,Brasil,B,MQL,Unknown,1,1,1,0,15:13:17,90.8666666666666667,25.4333333333333333,9.3666666666666667,1.00000000000000000000,0.00000000000000000000,4,4,0.02577319587628865979
2018-11-01,Brasil,B,MQL,Unknown,1,1,1,0,15:13:17,21.6333333333333333,0.80000000000000000000,0.30000000000000000000,1.00000000000000000000,0.00000000000000000000,4,4,0.02577319587628865979
2018-11-01,Brasil,C,MQL,BR,40,40,9,8,20:17:55,113.6000000000000000,33.9333333333333333,12.5000000000000000,0.22500000000000000000,0.88888888888888888889,160,36,0.82474226804123711340
2018-11-01,Brasil,C,MQL,BR,40,40,9,8,20:17:55,27.0333333333333333,1.0666666666666667,0.40000000000000000000,0.22500000000000000000,0.88888888888888888889,160,36,0.82474226804123711340
2018-11-01,Brasil,C,MQL,BR,40,40,9,8,20:17:55,3.2666666666666667,0.60000000000000000000,0.16666666666666666667,0.22500000000000000000,0.88888888888888888889,160,36,0.82474226804123711340
2018-11-01,Brasil,C,MQL,BR,40,40,9,8,20:17:55,50.1000000000000000,8.3333333333333333,4.3000000000000000,0.22500000000000000000,0.88888888888888888889,160,36,0.82474226804123711340
